365.188,150.163,276
414.011,147.536,137
392.19,162.913,542
310.81,162.741,303
442.338,160.535,142
467.781,164.741,374
420.375,171.206,384
343.318,177.335,822
222.893,175.897,428
497.432,172.042,192
368.625,173.305,128
199.315,174.722,27
266.07,181.162,207
444.94,184.646,268
176.765,187.95,211
115.971,186.052,87
400.284,187.784,162
517.882,190.253,275
479.768,208.748,2196
368.692,210.553,1975
290.873,201.419,405
316.652,203.217,223
423.68,213.188,1114
230.985,213.124,804
534.253,215.88,800
155.029,206.948,87
264.696,205.554,56
126.616,208.616,43
193.611,216.585,378
330.599,225.401,263
282.762,235.021,904
97.203,229.555,91
136.488,236.357,406
449.451,236.872,266
513.446,236.873,166
167.158,246.111,450
193.188,239.938,48
253.392,242.059,102
313.155,245.598,264
493.685,256.523,825
230.944,265.447,1198
111.83,254.17,88
194.398,266.103,403
285.433,261.9,60
143.632,269.658,114
266.907,281.083,797
116.983,283.818,422
168.144,282.809,337
204.458,302.754,1060
141.158,297.377,114
245.217,301.5,173
261.087,306.575,80
111.308,308.5,73
271.404,314.175,114
140.294,323.275,320
247.644,328.978,734
171.955,329.182,365
200.702,345.603,893
434.472,345.58,212
523.122,362.431,1988
411.361,347.858,288
465.641,350.45,460
390.109,341.152,23
491.047,347.751,223
554.861,346.789,166
231.7,346.327,75
571.5,344.318,33
266.022,349.239,161
152.446,350.176,37
448.086,352.052,29
246.744,360.916,291
395.893,358.893,117
173.485,370.607,819
568.006,363.721,253
446.925,370.13,435
483.144,368.306,315
422.106,367.9,165
231.905,376.981,79
401.527,386.306,696
465.404,379.827,156
552.758,383.565,279
247.745,383.66,163
212.966,385.693,88
195.5,383.667,12
428.407,389.699,216
484.087,393.266,397
505.167,392.724,201
449.649,393.964,235
233.211,391.933,90
532.412,394.816,114
465.522,394.633,45
566.532,400.333,186
220.667,396.583,12
208.495,404.832,217
171.672,401.672,64
187.938,401.062,32
519.34,400.72,50
243.507,418.226,1030
547.797,405.689,74
436.418,406.051,49
417.629,408.636,132
395.866,411.004,131
465.599,413.94,232
508.167,411.219,57
490.719,414.061,114
532.812,414.375,16
181.044,426.356,535
209.713,423.578,244
562.792,428.396,653
513.583,446.331,2538
265.294,437.468,126
228.383,446.313,257
203.034,447.863,251
253.516,453.403,321
554.31,452.943,273
177.455,453.077,156
214.219,458.531,32
271.847,462.621,124
189.855,470.975,341
233.149,466.981,77
552.411,486.301,1282
216.686,492.727,1383
490.664,478.418,110
292,479.648,54
250.105,486.539,129
517.033,488.818,261
271.793,488.808,208
306.051,510.699,1570
495.147,499.857,269
472.496,502.86,283
254.938,524.771,2124
523.247,525.777,1704
343.336,514.336,311
453.769,513.889,108
411.199,524.714,618
434.173,517.255,98
560.399,520.564,267
370.732,528.234,608
490.815,521.924,92
469.851,530.367,564
443.244,527.872,43
330.889,533.111,54
450.12,537.663,92
392.898,543.301,251
291.846,542.154,104
493.741,545.633,286
313.318,546.727,247
431.914,548.68,244
335.703,551.18,128
367.359,570.563,1943
461.437,565.76,1275
276.741,550.87,54
291.942,560.678,353
403.954,559.508,119
506.934,559.047,53
315.1,566.943,280
333.219,563.991,57
493.808,565.91,117
424.834,576.27,643
402.373,575.595,63
331.737,579.89,118
400.015,588.106,132
