365.085,150.141
413.956,147.514
392.305,162.956
310.801,162.823
467.713,164.68
442.418,160.616
420.404,171.211
343.453,177.376
222.976,175.937
497.315,172.04
368.596,173.199
199.742,174.591
266.095,181.179
444.991,184.744
176.734,187.858
116,186.078
400.387,187.714
517.965,190.257
479.767,208.767
368.74,210.575
290.805,201.43
316.733,203.371
423.671,213.224
230.993,213.132
534.285,215.988
264.577,205.592
155.038,206.952
126.854,208.854
193.719,216.773
330.643,225.429
282.778,235.044
97.149,229.5
136.462,236.356
449.367,236.832
513.337,236.913
167.153,245.999
192.953,239.934
253.463,242.041
313.101,245.569
493.705,256.51
231.013,265.4
111.682,254.318
194.312,266.103
285.396,261.709
143.698,269.5
266.98,281.08
116.995,283.783
168.185,282.772
204.51,302.807
141.268,297.452
245.588,301.442
260.994,306.695
111.175,308.738
271.233,314.108
140.335,323.174
247.589,329.005
171.976,329.159
200.6,345.601
434.368,345.553
523.169,362.486
390.052,341.155
411.38,347.792
465.571,350.414
491.076,347.697
554.85,346.737
571.5,344.25
231.75,346.113
266,349.244
152.384,350.291
448.25,352.139
246.72,360.847
395.963,358.874
173.582,370.59
568.05,363.649
446.917,369.979
483.102,368.222
422.19,367.833
232.023,377.023
401.521,386.264
465.494,379.848
552.822,383.531
247.631,383.542
213.033,385.783
195.5,383.711
428.478,389.836
484.127,393.343
449.705,393.832
505.141,392.714
233.309,392
532.336,394.738
465.5,394.628
566.589,400.354
220.676,396.441
208.482,404.614
519.414,400.431
171.662,401.75
187.287,401.074
243.492,418.09
547.808,405.667
436.443,406.085
417.566,408.787
395.725,410.906
465.647,413.798
508.119,411.452
490.803,414.074
532.5,414.5
181.053,426.19
209.652,423.744
562.746,428.272
513.574,446.318
265.226,437.544
228.563,446.31
203.071,447.875
253.509,453.387
554.377,452.823
177.434,453.078
214.05,458.5
271.775,462.538
189.912,471.114
233.117,467.056
552.398,486.256
216.72,492.702
490.861,478.434
292.027,479.718
250.097,486.507
271.692,488.78
516.978,488.881
306.037,510.673
495.255,499.774
472.49,502.807
254.922,524.754
523.155,525.814
343.181,514.181
453.744,514.02
411.237,524.716
434.332,517.252
560.482,520.551
370.738,528.221
490.686,521.768
469.708,530.406
443.3,528.1
330.625,532.375
449.812,537.708
393.015,543.308
291.804,542.232
493.699,545.678
313.345,546.472
431.859,548.608
367.382,570.465
335.649,551.179
461.583,565.719
276.746,550.91
291.893,560.568
403.968,559.694
507.083,559.233
315.19,566.755
333.221,563.926
493.768,565.841
424.748,576.25
402.441,575.529
331.626,579.839
399.92,588.232
